,Conditional FD from ['m1'] to m0,"Conditional FD from ['m1', 'm2', 'm3', 'm4'] to m0","Conditional FD from ['m1', 'm2', 'm3'] to m0","Conditional FD from ['m1', 'm2'] to m0",missing_ratio,keep_incomplete,Model
68,185.4787739411684,184.34460954202416,185.0124369832722,185.6748606785101,0.2,False,MMVAE
69,192.8632853861359,191.2635188640712,193.60346162602588,194.50663297794483,0.2,False,MMVAE
70,182.48465349351395,181.72782837035032,181.2885030896801,182.689070605439,0.2,False,MMVAE
71,196.83407152786256,193.1415387348036,193.77555196589412,195.2989159709365,0.2,False,MMVAE
72,195.79172621067127,189.6197134091985,192.2335524523358,194.0896749243801,0.0,False,MMVAE
73,187.86940831979047,187.24171618323737,187.1793436904428,187.13619501866788,0.0,False,MMVAE
74,192.16893934342897,190.99200169620352,190.8312910772179,191.54595089655123,0.0,False,MMVAE
75,187.8852900849469,186.210901474501,186.73786325549133,188.6855892220435,0.0,False,MMVAE
76,173.9804475298776,184.0746369471541,178.13891641269532,168.82533015711715,0.5,False,MVTCAE
77,204.1120657794584,216.10266295216093,210.64608676639244,202.66337158916008,0.5,False,MVTCAE
78,169.65353614902148,179.81999435025958,173.89736589989093,166.02416152050472,0.5,False,MVTCAE
79,209.70268412027667,220.5307568151302,212.68078207686537,207.48652352646363,0.5,False,MVTCAE
80,81.06917910196933,142.18855876557188,125.39758561170449,103.68355325914,0.5,True,MVTCAE
81,90.1725953067978,151.82357512728666,133.64903472182652,112.502436937219,0.5,True,MVTCAE
82,84.04557070760092,140.67360012327754,124.9117463215511,104.83944903093015,0.5,True,MVTCAE
83,79.01750791147202,138.82046978940582,124.49784708522697,103.3765001577537,0.5,True,MVTCAE
84,91.7201670551304,120.04943131441844,109.90330267085444,98.44308195025428,0.2,False,MVTCAE
85,97.34880072013324,136.09823334785648,122.36581541880736,107.97099072066383,0.2,False,MVTCAE
86,98.32638609213508,136.23019823028756,121.95348616100271,108.6139113146163,0.2,False,MVTCAE
87,90.09416038676191,127.53156888873308,113.7094741776445,99.7598939659572,0.2,False,MVTCAE
88,70.91506375680206,125.96881753621778,110.71262304183062,91.84974216321098,0.2,True,MVTCAE
89,81.48784198497867,136.0419816299472,119.62780890482172,101.2569414592657,0.2,True,MVTCAE
90,76.29553937258845,129.70579960213018,112.13557647593431,92.45971419517576,0.2,True,MVTCAE
91,86.46433440142766,137.54838364007594,119.552644675936,101.99293677037495,0.2,True,MVTCAE
92,71.11157971243853,111.15661050802665,98.62058096969236,83.94477778163429,0.0,False,MVTCAE
93,90.56287350566936,126.00268478303008,114.30488127220974,99.89973601752774,0.0,False,MVTCAE
94,77.94497609521466,117.65131136118008,106.37796475574204,88.61716646845167,0.0,False,MVTCAE
95,84.77392733771387,126.8301934864337,112.1195955221691,94.7515975015266,0.0,False,MVTCAE
96,247.1073603039412,243.67921592465552,241.60341952556857,244.23770849099492,0.5,False,MoPoE
97,213.84542381175123,208.1301790421315,204.80638906809736,214.80676107437205,0.5,False,MoPoE
98,255.9949129150168,238.39741882313825,235.4133038202716,250.0782169050416,0.5,False,MoPoE
99,245.9422240040672,222.8813669337202,218.48524760896905,241.09276721841653,0.5,False,MoPoE
100,188.34987744032205,191.3834649870361,187.0139465973403,188.2094428763637,0.5,True,MoPoE
101,248.65153556121905,296.5224038965327,287.7934015883086,267.18250511455705,0.5,True,MoPoE
102,172.07518308711713,186.7891475740764,179.29611175588224,179.4446258202535,0.5,True,MoPoE
103,179.1435375278846,190.34287021461367,188.12618232119132,185.14212604003367,0.5,True,MoPoE
104,188.54626592955253,178.8587481867407,176.6875684282408,183.68866289135417,0.2,False,MoPoE
105,196.143733705352,203.3100238734688,196.64509360683064,196.7595792449632,0.2,False,MoPoE
106,183.10289815940712,178.54679127001907,175.01991934330005,179.9940885580869,0.2,False,MoPoE
107,181.329176305268,178.26708081764485,174.60783696275547,180.6162936237349,0.2,False,MoPoE
108,179.8899328284863,185.60540555752925,184.66899066103605,183.3344375904943,0.2,True,MoPoE
109,192.5956531592302,191.40936770358132,189.44821917800252,191.52711072049712,0.2,True,MoPoE
110,179.05237107292118,175.14219242231323,172.60006130907493,174.25497892654948,0.2,True,MoPoE
111,232.8639106403395,245.15783947006457,243.7004469394116,248.85643298947627,0.0,False,MoPoE
112,227.4034170289572,246.16097517624505,242.25292139508804,241.34491289089448,0.2,True,MoPoE
113,175.23383387907273,187.466412251626,180.9964183464278,182.8861688313542,0.0,False,MoPoE
114,167.761637453361,181.0290146865808,176.93403069136633,173.00830910293155,0.0,False,MoPoE
115,244.5818729670194,249.1218977995032,246.2225425848306,259.3959327916517,0.0,False,MoPoE
22,309.1497847657823,297.50692185349214,296.79078984534124,301.86466868549087,0.5,True,MVAE
23,98.4215713999804,101.38211675605277,99.11662108530312,102.78562709876913,0.2,True,MVAE
24,194.4952979495165,198.37981944000407,195.668358844326,197.01818745827228,0.5,False,MVAE
25,288.899129396892,286.25890480044853,287.7744392185268,287.6010468113102,0.2,False,MVAE
26,257.9818029890032,246.81992011685315,246.1792768299713,246.83655918577892,0.0,False,MVAE
